id	category	name
uuid:c137abdb-954d-5fa5-ae7f-f662b835bc0e	biolink:Gene	IGF1R
uuid:334d4586-7094-5a22-82d1-b5d68d7d34f7	biolink:Gene	EPAS1
uuid:83e6a5c2-63bb-5fa5-a4a4-739dbf68133e	biolink:Gene	INSR
uuid:8cd929af-c0fd-5563-a51b-ed669ee2f0e3	biolink:Gene	CRIM1
uuid:754d761f-1d83-5f74-b668-5fb9deef2af9	biolink:Gene	SPTBN1
uuid:178f654e-3814-5d96-959a-85f1aa13a3d7	biolink:Gene	FOXP1
uuid:d3027840-8df8-512e-89da-c28896a68160	biolink:Gene	DOCK9
uuid:003b30a1-45b9-5419-b49d-082bc7747b4d	biolink:Gene	PRKCH
uuid:759cff55-88cd-5b7b-9bf2-43ebdb0878fe	biolink:Gene	FTX
uuid:d51fb5e5-224e-55a7-8237-3ba613484ab7	biolink:Gene	ANO2
uuid:5bd15d92-7994-5d09-a605-9527f77196c9	biolink:Gene	GPCPD1
uuid:dcb9ea5d-11d9-586b-a942-7c0cacfe6435	biolink:Gene	ZBTB16
uuid:224f12fa-3cb8-5188-b385-6ec6157715a5	biolink:Gene	JMJD1C
uuid:cec37164-51ea-5c25-9dfc-2733e2508dd9	biolink:Gene	PIK3R3
uuid:4215f582-be8e-5134-821c-a9ecd83bed37	biolink:Gene	TCF4
uuid:c2f7fccc-dedc-5e11-ab23-2ca1a50a1109	biolink:Gene	NKAIN2
uuid:38cdd7b1-014c-5c5e-90a9-be68f3b27d99	biolink:Gene	PELI1
uuid:55a06154-c534-5600-9750-c96f464d7e13	biolink:Gene	PTPRB
uuid:f16b78ed-c191-51a3-986c-8473ecf63ae5	biolink:Gene	TBC1D4
uuid:7afe6f75-776d-5963-9f1f-139fadab6a41	biolink:Gene	CCNY
uuid:a25fec95-40ac-57c2-be30-158f018f0206	biolink:Gene	WWTR1
uuid:296e4236-3ea8-57b6-9ac9-fe83c774982b	biolink:Gene	RAPGEF2
uuid:95ffbf5c-4439-53fc-9bf3-90ae31e1e419	biolink:Gene	AKAP12
uuid:777afba9-25ae-55f3-8930-190266b8a7c5	biolink:Gene	SORBS2
uuid:d7426ebc-31fe-5a12-9c34-491d8bb59595	biolink:Gene	PLCB4
uuid:571e758c-0f98-5e37-8f59-968d72d3cc96	biolink:Gene	NCOA1
uuid:fb4daf07-0f4e-5217-8662-ef39493b1cc4	biolink:Gene	ABCG2
uuid:b8080286-12d2-56a0-83bb-4e4471ded812	biolink:Gene	MAST4
uuid:595a6dc3-758b-53b5-bebd-83301c64aa1b	biolink:Gene	DKK2
uuid:4873a95d-332e-5eb0-8173-4aec850f8749	biolink:Gene	LINC02147
uuid:3bcf8d98-44f5-5827-8b19-32be382df754	biolink:Gene	TJP1
uuid:90fa1964-c446-5495-90ae-0645545a1ea3	biolink:Gene	APBB2
uuid:f56d966b-bb2d-57b6-868b-63a035d714e3	biolink:Gene	PLEKHG1
uuid:40c8a94c-95b0-5f7a-bf69-db432789ff1f	biolink:Gene	ENSG00000236283
uuid:299ece25-71a3-517a-8e15-6602c6375f19	biolink:Gene	SGMS1
uuid:231aea14-0474-58d3-b298-8396eb04a498	biolink:Gene	SLC7A5
uuid:32fff2a4-6b2b-5047-ab9d-f920eccf5663	biolink:Gene	ENSG00000291073
uuid:cd94d610-852f-560e-8193-861675a2cd09	biolink:Gene	GALNT18
uuid:1951f0aa-4d06-541e-9bbd-cb77a0368ba8	biolink:Gene	AUTS2
