id	category	name	description	provided_by
uuid:5830bbf3-d1f7-5fd4-b9e5-171662ff7710	biolink:AnatomicalEntity	Fibroblast in Lateral Occipital Cortex	Fibroblast in Lateral Occipital Cortex	KIBR; Stanford University
uuid:47ac7c69-9219-5bc2-b4a4-829e9bf70d94	biolink:AnatomicalEntity	Fibroblast in Lateral Temporal Gyrus	Fibroblast in Lateral Temporal Gyrus	KIBR; Stanford University
uuid:6e371d4f-b10a-565a-9213-f5cee7d4174d	biolink:AnatomicalEntity	Fibroblast in Leptomeninges	Fibroblast in Leptomeninges	KIBR; Stanford University
uuid:54613e29-d618-5e36-8d6b-504352f55db9	biolink:AnatomicalEntity	Fibroblast in Lingual Gyrus	Fibroblast in Lingual Gyrus	KIBR; Stanford University
uuid:93c83420-fd26-55f0-b838-85b5c32df253	biolink:AnatomicalEntity	Fibroblast in Midbrain	Fibroblast in Midbrain	KIBR; Stanford University
uuid:fa10854a-66f3-57ea-8e4f-8d4c83883c5c	biolink:AnatomicalEntity	Fibroblast in Middle Cerebral Artery	Fibroblast in Middle Cerebral Artery	KIBR; Stanford University
uuid:a4e27da9-823a-5553-b4b0-20366a20bf8f	biolink:AnatomicalEntity	Fibroblast in Middle Temporal Gyrus	Fibroblast in Middle Temporal Gyrus	KIBR; Stanford University
uuid:0a6caa7d-7eba-5584-aded-6f581ed91543	biolink:AnatomicalEntity	Fibroblast in Olfactory Bulb	Fibroblast in Olfactory Bulb	KIBR; Stanford University
uuid:002ab1b3-7530-56b0-8ebe-8e6d28d88084	biolink:AnatomicalEntity	Fibroblast in Orbitofrontal Cortex	Fibroblast in Orbitofrontal Cortex	KIBR; Stanford University
uuid:84805b01-1e22-50ff-8ea7-5d1f15a506ff	biolink:AnatomicalEntity	Fibroblast in Parahippocampal Gyrus	Fibroblast in Parahippocampal Gyrus	KIBR; Stanford University
uuid:0c6837b3-d1ca-5c3e-9919-3c851a29a349	biolink:AnatomicalEntity	Fibroblast in Periventricular White Matter	Fibroblast in Periventricular White Matter	KIBR; Stanford University
uuid:f8961ca7-9054-50ae-8261-b97343a148e1	biolink:AnatomicalEntity	Fibroblast in Pons	Fibroblast in Pons	KIBR; Stanford University
uuid:0b59d295-7c40-5944-aaf9-7436703d6dbb	biolink:AnatomicalEntity	Fibroblast in Posterior Cingulate Cortex	Fibroblast in Posterior Cingulate Cortex	KIBR; Stanford University
uuid:e9408c55-7477-55a6-99e3-e5b636999893	biolink:AnatomicalEntity	Fibroblast in Precuneus	Fibroblast in Precuneus	KIBR; Stanford University
uuid:6bca28bb-411d-5c35-8838-262fc677bbb8	biolink:AnatomicalEntity	Fibroblast in Spinal Cord	Fibroblast in Spinal Cord	KIBR; Stanford University
uuid:b54fac9a-9faa-522f-96a7-fb383d66457c	biolink:AnatomicalEntity	Fibroblast in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	Fibroblast in Superior Frontal Gyrus / Rostromedial Prefrontal Cortex	KIBR; Stanford University
uuid:edd9358b-cba3-54c9-b29a-82028e5bd809	biolink:AnatomicalEntity	Fibroblast in Superior Parietal Lobule	Fibroblast in Superior Parietal Lobule	KIBR; Stanford University
uuid:c8d82ffe-b9db-542c-be6e-d6e4c9cbaf29	biolink:AnatomicalEntity	Fibroblast in Superior Temporal Gyrus	Fibroblast in Superior Temporal Gyrus	KIBR; Stanford University
uuid:945881c3-5ea4-5c2b-aeb5-9dcdfff0a693	biolink:AnatomicalEntity	Fibroblast in Supramarginal Gyrus	Fibroblast in Supramarginal Gyrus	KIBR; Stanford University
uuid:7c843d99-438c-5592-b03a-9c7038d5882f	biolink:AnatomicalEntity	Fibroblast in Thalamus	Fibroblast in Thalamus	KIBR; Stanford University
uuid:fd1193cd-ce0c-5d47-b39f-b1c451a6ae35	biolink:AnatomicalEntity	Fibroblast in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	Fibroblast in Watershed Area: Anterior Cerebral Artery - Middle Cerebral Artery border zone	KIBR; Stanford University
uuid:3ee4a0d2-34fc-5955-aaab-3084ae645c38	biolink:AnatomicalEntity	Fibroblast in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	Fibroblast in Watershed Area: Middle Cerebral Artery - Posterior Cerebral Artery border zone	KIBR; Stanford University
uuid:7906baff-2ea3-566c-82e9-8d603732860f	biolink:AnatomicalEntity	Fibroblast in White Matter Watershed Area supplied by the Anterior Cerebral Artery	Fibroblast in White Matter Watershed Area supplied by the Anterior Cerebral Artery	KIBR; Stanford University
uuid:b8db7e61-6362-5323-a3fd-26abdc04bad8	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Amygdala	Microglia Macrophage or T Cell in Amygdala	KIBR; Stanford University
uuid:db5a5672-b948-57a5-8e3e-692a717cbf43	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Anterior Cerebral Artery	Microglia Macrophage or T Cell in Anterior Cerebral Artery	KIBR; Stanford University
uuid:cbefb11f-c272-5e52-9614-1ce317cc29cb	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Anterior Cingulate Cortex	Microglia Macrophage or T Cell in Anterior Cingulate Cortex	KIBR; Stanford University
uuid:110d51bd-aa76-580b-bb1e-80eb01277ce6	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Basilar Artery / Circle of Willis	Microglia Macrophage or T Cell in Basilar Artery / Circle of Willis	KIBR; Stanford University
uuid:4cf21580-3606-5e28-b405-2ed0cd6952ff	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Caudate and Putamen	Microglia Macrophage or T Cell in Caudate and Putamen	KIBR; Stanford University
uuid:335df52b-7973-50ba-8b3a-af05d78f65be	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Cerebellum	Microglia Macrophage or T Cell in Cerebellum	KIBR; Stanford University
uuid:721cc979-f213-5dd5-a308-2b0ed8b1faa8	biolink:AnatomicalEntity	Microglia Macrophage or T Cell in Cingulum Bundle	Microglia Macrophage or T Cell in Cingulum Bundle	KIBR; Stanford University
